Iter 11600, task hyperlinks, loss 0.4076176583766937, acc 0.85334, f1 0.39649, p 0.69753, r 0.27696
Iter 11700, task mwe, loss 1.1151705026626586, acc 0.83051, f1 0.13023, p 0.47458, r 0.07547
Iter 11700, task hyperlinks, loss 0.41368956367174786, acc 0.84150, f1 0.40952, p 0.58108, r 0.31618
Iter 11800, task mwe, loss 1.111618741353353, acc 0.83219, f1 0.10815, p 0.53175, r 0.06020
Iter 11800, task hyperlinks, loss 0.40950589378674823, acc 0.85334, f1 0.38214, p 0.70395, r 0.26225
Iter 11900, task mwe, loss 1.1031137069066366, acc 0.83142, f1 0.13591, p 0.48352, r 0.07907
Iter 11900, task hyperlinks, loss 0.4098733365535736, acc 0.85207, f1 0.38879, p 0.68098, r 0.27206
Iter 12000, task mwe, loss 1.0980229417483012, acc 0.83158, f1 0.11876, p 0.50000, r 0.06739
Iter 12000, task hyperlinks, loss 0.4068399965763092, acc 0.85207, f1 0.40137, p 0.66857, r 0.28676
Iter 12100, task mwe, loss 1.0905017495155334, acc 0.83127, f1 0.13559, p 0.47568, r 0.07907
Iter 12100, task hyperlinks, loss 0.40373485287030536, acc 0.85292, f1 0.38584, p 0.69427, r 0.26716
Iter 12200, task mwe, loss 1.0852285861968993, acc 0.83158, f1 0.13735, p 0.48634, r 0.07996
Iter 12200, task hyperlinks, loss 0.4069770276546478, acc 0.85418, f1 0.39649, p 0.69753, r 0.27696
Iter 12300, task mwe, loss 1.0801889340082804, acc 0.83173, f1 0.12264, p 0.49057, r 0.07008
Iter 12300, task hyperlinks, loss 0.4036044776439667, acc 0.85334, f1 0.39085, p 0.69375, r 0.27206
Iter 12400, task mwe, loss 1.075434442361196, acc 0.83112, f1 0.11969, p 0.48408, r 0.06828
Iter 12400, task hyperlinks, loss 0.4043986101945241, acc 0.84784, f1 0.40333, p 0.63021, r 0.29657
Iter 12500, task mwe, loss 1.0684617002805075, acc 0.83158, f1 0.13580, p 0.48087, r 0.07907
Iter 12500, task hyperlinks, loss 0.4049602150917053, acc 0.85334, f1 0.39298, p 0.69136, r 0.27451
Iter 12600, task mwe, loss 1.0628499905268352, acc 0.83188, f1 0.14132, p 0.48677, r 0.08266
Iter 12600, task hyperlinks, loss 0.4048267702261607, acc 0.85545, f1 0.40489, p 0.70303, r 0.28431
Iter 12700, task mwe, loss 1.0575995643933613, acc 0.83188, f1 0.12431, p 0.50000, r 0.07098
