Iter 12200, task gpos, loss 1.0858171780904133, acc 0.81275, f1 0.81376, p 0.81478, r 0.81275
Iter 12200, task hyperlinks, loss 0.515735516945521, acc 0.84446, f1 0.42520, p 0.59471, r 0.33088
Iter 12300, task gpos, loss 1.0799421787261962, acc 0.81099, f1 0.81200, p 0.81301, r 0.81099
Iter 12300, task hyperlinks, loss 0.513223131497701, acc 0.84658, f1 0.42122, p 0.61215, r 0.32108
Iter 12400, task gpos, loss 1.0737698833147684, acc 0.81231, f1 0.81332, p 0.81434, r 0.81231
Iter 12400, task hyperlinks, loss 0.5118495523929596, acc 0.85207, f1 0.42645, p 0.65482, r 0.31618
Iter 12500, task gpos, loss 1.0676290194193523, acc 0.81363, f1 0.81464, p 0.81566, r 0.81363
Iter 12500, task hyperlinks, loss 0.5137693583965302, acc 0.85418, f1 0.39292, p 0.70701, r 0.27206
Iter 12600, task gpos, loss 1.061332400639852, acc 0.81319, f1 0.81420, p 0.81522, r 0.81319
Iter 12600, task hyperlinks, loss 0.509369283914566, acc 0.85123, f1 0.40137, p 0.66857, r 0.28676
Iter 12700, task gpos, loss 1.055392328898112, acc 0.81421, f1 0.81511, p 0.81601, r 0.81421
